resort_name,city,state,total_acres,canyon_name,website,ski_patrol_phone,night_skiing
Beaver Mountain,Garden City,UT,828,Logan Canyon,www.skithebeav.com,435-946-3610,TRUE
Snowbird,Snowbird,UT,2500,Little Cottonwood,www.snowbird.com,801-933-2222,FALSE
Sundance,Sundance,UT,450,Provo Canyon,www.sundanceresort.com,801-223-4150,TRUE
