area_id,run_name,difficulty,is_open,is_terrain_park,backcountry_access,bootpack_req
6,Old Ladies,Expert,FALSE,FALSE,FALSE,FALSE
6,Shireen,Advanced,FALSE,FALSE,FALSE,FALSE
6,Mark Malu Fork,Intermediate,FALSE,FALSE,TRUE,FALSE
6,Rasta Chutes,Advanced,FALSE,FALSE,FALSE,FALSE
6,Knuckelhead Traverse,Advanced,FALSE,FALSE,FALSE,FALSE
6,Pipeline Couloir,Expert,FALSE,FALSE,TRUE,TRUE
6,Pipeline Bowl,Expert,FALSE,FALSE,TRUE,TRUE
6,Goblin Gully,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Fields Cut Off,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Bonar's Pass,Advanced,FALSE,FALSE,FALSE,FALSE
6,Hoop's,Advanced,FALSE,FALSE,FALSE,FALSE
6,Upper Bassackwards,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Middle Bassackwards,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Election,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Gad Valley Road,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Regulator Gully,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Bicarbonate Gully,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Organ Grinder,Advanced,FALSE,FALSE,FALSE,FALSE
6,Lautrenoe,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Sneaky Pete,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Upper Big Emma,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Blue Angle,Advanced,FALSE,FALSE,FALSE,FALSE
6,Big Emma,Beginner,FALSE,FALSE,FALSE,FALSE
6,Middle Emma,Beginner,FALSE,FALSE,FALSE,FALSE
6,Dick Bass Highway,Beginner,FALSE,FALSE,FALSE,FALSE
6,Wilbere Ridge,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Harper's Ferry,Advanced,FALSE,FALSE,FALSE,FALSE
6,Lower Mach Schnell,Advanced,FALSE,FALSE,FALSE,FALSE
6,Harper's Ferry East,Advanced,FALSE,FALSE,FALSE,FALSE
6,Miner's Road,Beginner,FALSE,FALSE,FALSE,FALSE
6,Harper's Ferry,Beginner,FALSE,FALSE,FALSE,FALSE
6,Wilbere Cutoff,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Cat Crew Cutoff,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Bryce's Run,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Elbow Proper,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Tricep,Advanced,FALSE,FALSE,FALSE,FALSE
6,Jones Ave,Expert,FALSE,FALSE,FALSE,FALSE
6,Get Serious Chute #1,Expert,FALSE,FALSE,TRUE,TRUE
6,Get Serious Chute #2,Expert,FALSE,FALSE,TRUE,TRUE
6,Get Serious Chute #3,Expert,FALSE,FALSE,TRUE,TRUE
6,Carbonate,Advanced,FALSE,FALSE,FALSE,FALSE
6,Madam Annie's,Intermediate,FALSE,FALSE,FALSE,FALSE
6,West 2nd South On Ramp,Intermediate,FALSE,FALSE,FALSE,FALSE
6,S T H,Advanced,FALSE,FALSE,FALSE,FALSE
6,Gadzooks,Advanced,FALSE,FALSE,FALSE,FALSE
6,Banana's ,Intermediate,FALSE,FALSE,FALSE,FALSE
6,Red Lens Line,Expert,FALSE,FALSE,FALSE,FALSE
6,Upper Tiger Tail,Expert,FALSE,FALSE,FALSE,FALSE
6,High Saddle Traverse,Expert,FALSE,FALSE,TRUE,TRUE
6,Boundary Bowl,Expert,FALSE,FALSE,TRUE,FALSE
6,Thunder Bowl,Expert,FALSE,FALSE,FALSE,FALSE
6,Temptation Chutes,Expert,FALSE,FALSE,TRUE,FALSE
6,Low Saddle,Advanced,FALSE,FALSE,FALSE,FALSE
6,Ted's Bowl,Advanced,FALSE,FALSE,FALSE,FALSE
6,Middle Tiger Tail,Advanced,FALSE,FALSE,FALSE,FALSE
6,The Fin,Advanced,FALSE,FALSE,FALSE,FALSE
6,Low Saddle,Advanced,FALSE,FALSE,FALSE,FALSE
6,Exit Gully,Advanced,FALSE,FALSE,FALSE,FALSE
6,Mushroom Land,Expert,FALSE,FALSE,FALSE,FALSE
6,Gad 2 Return ,Advanced,FALSE,FALSE,FALSE,FALSE
6,Pearly Gates,Advanced,FALSE,FALSE,FALSE,FALSE
6,Thunder Alley,Advanced,FALSE,FALSE,FALSE,FALSE
6,White Rabit,Expert,FALSE,FALSE,FALSE,FALSE
6,Defiance Ledge,Expert,FALSE,FALSE,FALSE,FALSE
6,Figure 8 Bowl,Expert,FALSE,FALSE,FALSE,FALSE
6,Lazy Susan,Advanced,FALSE,FALSE,FALSE,FALSE
6,Tiny Tiger,Advanced,FALSE,FALSE,FALSE,FALSE
6,Easy Street ,Beginner,FALSE,FALSE,FALSE,FALSE
6,Alice Avenue,Beginner,FALSE,FALSE,FALSE,FALSE
6,Bluebell,Intermediate,FALSE,FALSE,FALSE,FALSE
6,West 2nd South,Beginner,FALSE,FALSE,FALSE,FALSE
6,West 2nd Short,Beginner,FALSE,FALSE,FALSE,FALSE
6,Upper Mini Miners' Camp,Beginner,FALSE,FALSE,FALSE,FALSE
6,West 2nd South Long,Beginner,FALSE,FALSE,FALSE,FALSE
6,Thunder Junction,Beginner,FALSE,FALSE,FALSE,FALSE
6,Lower Mini Miners' Camp,Beginner,FALSE,FALSE,FALSE,FALSE
6,Lowest Bassackwards,Intermediate,FALSE,FALSE,FALSE,FALSE
